Year,Plot,Tag,Taxon,X.cm,Y.cm,Tag.offset.x,Tag.offset.y,Length.cm,Height.cm,X.Capitulescences,Is.seedling,Died.this.census.final,Length.cm.prev,Growth,Survival,Is.recruit
2016,46,1478*C,Ivesia gordonii,123.8144746,29.37136421,-2,-5,2,2,0,0,1,1,1,0,0
2016,46,1478*D,Ivesia gordonii,126.7412874,34.21311948,-2,-5,2,2,0,0,1,1,1,0,0
2016,46,1478*E,Ivesia gordonii,122.9899098,33.24325024,-2,-5,2,2,0,0,1,1,1,0,0
2017,46,1478*A,Ivesia gordonii,125,32,-2,-5,5,2,0,0,0,2,3,1,0
2018,46,1478*A,Ivesia gordonii,125.6428146,30.65140555,-2,-5,10,5,2,0,0,5,5,1,0
2017,46,1478*B,Ivesia gordonii,124.7724875,31.08926435,-2,-5,0,0,0,0,0,2,-2,1,0
2018,46,1478*B,Ivesia gordonii,124.7724875,31.08926435,-2,-5,10,5,1,0,0,0,10,1,0
2019,46,1478*A,Ivesia gordonii,125.964222,29.97710833,-2,-5,14,6.5,0,0,0,10,4,1,0
2019,46,1478*B,Ivesia gordonii,124.6587312,30.63389652,-2,-5,14,6.5,0,0,1,10,4,0,0
2020,46,1478*A,Ivesia gordonii,125,32,-2,-5,17,5.5,4,0,0,14,3,1,0
2021,46,1478*A,Ivesia gordonii,125,32,-2,-5,0,0,0,0,0,17,-17,1,0
2015,46,1479*A,Arenaria congesta,147,5,-10,-10,1,1,0,1,0,NA,NA,1,1
2016,46,1479*A,Arenaria congesta,147,5,-10,-10,1.5,1,0,0,0,1,0.5,1,0
2017,46,1479*A,Arenaria congesta,147,5,-10,-10,2,1,0,0,0,1.5,0.5,1,0
2018,46,1479*A,Arenaria congesta,147,5,-10,-10,1,0.5,0,0,0,2,-1,1,0
2019,46,1479*A,Arenaria congesta,147,5,-10,-10,0,0,0,0,1,1,-1,0,0
2014,14,148*A,Heterotheca villosa,85,75,-10,-10,60,10,50,0,0,NA,NA,1,NA
2015,14,148*A,Heterotheca villosa,85,75,-10,-10,59,4,18,0,0,60,-1,1,0
2016,14,148*A,Heterotheca villosa,85,75,-10,-10,55.7,5,0,0,0,59,-3.3,1,0
2017,14,148*A,Heterotheca villosa,85,75,-10,-10,54,4,0,0,0,55.7,-1.7,1,0
2018,14,148*A,Heterotheca villosa,85,75,-10,-10,0,0,0,0,1,54,-54,0,0
2015,46,1480*A,Ivesia gordonii,136,19,-10,-10,0.6,0.8,0,1,0,NA,NA,1,1
2016,46,1480*A,Ivesia gordonii,136,19,-10,-10,2.5,3,0,0,0,0.6,1.9,1,0
2017,46,1480*A,Ivesia gordonii,136,19,-10,-10,0,0,0,0,1,2.5,-2.5,0,0
2015,46,1481*A,Senecio crassulus,129,19,-10,-10,0.6,2.5,0,1,0,NA,NA,1,1
2016,46,1481*A,Senecio crassulus,129,19,-10,-10,3,4,0,0,0,0.6,2.4,1,0
2017,46,1481*A,Senecio crassulus,129,19,-10,-10,4,7,0,0,0,3,1,1,0
2018,46,1481*A,Senecio crassulus,129,19,-10,-10,8,8.5,0,0,0,4,4,1,0
2019,46,1481*A,Senecio crassulus,129,19,-10,-10,12,11,0,0,0,8,4,1,0
2020,46,1481*A,Senecio crassulus,129,19,-10,-10,17.5,13,0,0,0,12,5.5,1,0
2021,46,1481*A,Senecio crassulus,129,19,-10,-10,19,11,0,0,0,17.5,1.5,1,0
2015,46,1482*A,Ivesia gordonii,153,13,-10,-10,1,1,0,1,0,NA,NA,1,1
2016,46,1482*A,Ivesia gordonii,153,13,-10,-10,2.5,2,0,0,0,1,1.5,1,0
2017,46,1482*A,Ivesia gordonii,153,13,-10,-10,2,2,0,0,0,2.5,-0.5,1,0
2018,46,1482*A,Ivesia gordonii,153,13,-10,-10,0,0,0,0,1,2,-2,0,0
2015,46,1483*A,Agoseris glauca,145,11,-10,-10,1,1,0,1,0,NA,NA,1,1
2016,46,1483*A,Agoseris glauca,145,11,-10,-10,3.5,5.5,0,0,0,1,2.5,1,0
2017,46,1483*A,Agoseris glauca,145,11,-10,-10,16,7,5,0,0,3.5,12.5,1,0
2018,46,1483*A,Agoseris glauca,145,11,-10,-10,11,5.5,8,0,0,16,-5,1,0
2019,46,1483*A,Agoseris glauca,145,11,-10,-10,17.5,5.5,7,0,0,11,6.5,1,0
2020,46,1483*A,Agoseris glauca,145,11,-10,-10,10.5,4,3,0,0,17.5,-7,1,0
2021,46,1483*A,Agoseris glauca,145,11,-10,-10,0,0,0,0,0,10.5,-10.5,1,0
2015,46,1484*A,Arenaria congesta,160.584377,5.77400505,-10,-10,1,1,0,1,0,NA,NA,1,1
2015,46,1484*B,Arenaria congesta,159.7931704,6.172058497,-10,-10,1,1,0,1,0,NA,NA,1,1
2015,46,1484*C,Arenaria congesta,158.0241243,2.618940347,-10,-10,1,1,0,1,0,NA,NA,1,1
2015,46,1484*D,Arenaria congesta,162.9021456,10.68853246,-10,-10,1,1,0,1,0,NA,NA,1,1
2015,46,1484*E,Arenaria congesta,156.6498497,9.072083734,-10,-10,1,1,0,1,1,NA,NA,0,1
2015,46,1484*F,Arenaria congesta,156.7605958,9.619813369,-10,-10,1,1,0,1,1,NA,NA,0,1
2016,46,1484*A,Arenaria congesta,160.5259393,5.896604545,-10,-10,2,3,0,0,0,1,1,1,0
2016,46,1484*B,Arenaria congesta,159.8138534,6.254852647,-10,-10,2,3,0,0,1,1,1,0,0
2016,46,1484*C,Arenaria congesta,158.2217119,3.057046312,-10,-10,2,3,0,0,1,1,1,0,0
2016,46,1484*D,Arenaria congesta,162.6119311,10.31967921,-10,-10,2,3,0,0,1,1,1,0,0
2017,46,1484*A,Arenaria congesta,160,7,-10,-10,0,0,0,0,1,2,-2,0,0
2015,46,1485*A,Ivesia gordonii,172,8,-10,-10,0.8,0.8,0,1,0,NA,NA,1,1
2016,46,1485*A,Ivesia gordonii,172,8,-10,-10,2.5,2,0,0,0,0.8,1.7,1,0
2017,46,1485*A,Ivesia gordonii,172,8,-10,-10,0,0,0,0,1,2.5,-2.5,0,0
2015,46,1486*A,Lupinus argenteus,165.2337508,17.50960202,-10,-10,3,2,0,1,0,NA,NA,1,1
2015,46,1486*B,Lupinus argenteus,164.9172682,17.6688234,-10,-10,3,2,0,1,1,NA,NA,0,1
2016,46,1486*A,Lupinus argenteus,165,18,-10,-10,0,0,0,0,1,3,-3,0,0
2015,46,1487*A,Ivesia gordonii,148,33,-10,-10,1.2,0.6,0,1,0,NA,NA,1,1
2016,46,1487*A,Ivesia gordonii,148,33,-10,-10,3,4,0,0,0,1.2,1.8,1,0
2017,46,1487*A,Ivesia gordonii,148,33,-10,-10,0,0,0,0,1,3,-3,0,0
2015,46,1488*A,Arenaria congesta,150,34,-10,-10,1,1.1,0,1,0,NA,NA,1,1
2016,46,1488*A,Arenaria congesta,150,34,-10,-10,3,3,0,0,0,1,2,1,0
2017,46,1488*A,Arenaria congesta,150,34,-10,-10,0,0,0,0,1,3,-3,0,0
2015,46,1489*A,Senecio crassulus,142,45,-10,-10,0.8,0.3,0,1,0,NA,NA,1,1
2016,46,1489*A,Senecio crassulus,142,45,-10,-10,2,4,0,0,0,0.8,1.2,1,0
2017,46,1489*A,Senecio crassulus,142,45,-10,-10,8,4,0,0,0,2,6,1,0
2018,46,1489*A,Senecio crassulus,142,45,-10,-10,0,0,0,0,1,8,-8,0,0
2014,14,149*A,Eriogonum umbellatum,82,55,-10,-10,22,3,1,0,0,NA,NA,1,NA
2015,14,149*A,Eriogonum umbellatum,82,55,-10,-10,21.5,3.5,5,0,0,22,-0.5,1,0
2016,14,149*A,Eriogonum umbellatum,82,55,-10,-10,23,4,3,0,0,21.5,1.5,1,0
2017,14,149*A,Eriogonum umbellatum,82,55,-10,-10,23,2,9,0,0,23,0,1,0
2018,14,149*A,Eriogonum umbellatum,82,55,-10,-10,24,3.5,9,0,0,23,1,1,0
2019,14,149*A,Eriogonum umbellatum,82,55,-10,-10,27,2,21,0,0,24,3,1,0
2020,14,149*A,Eriogonum umbellatum,82,55,-10,-10,26.5,3,11,0,0,27,-0.5,1,0
2021,14,149*A,Eriogonum umbellatum,82,55,-10,-10,29.5,3.5,10,0,0,26.5,3,1,0
2015,46,1490*A,Senecio crassulus,147.1753131,44.63220151,-10,-10,1,1,0,1,0,NA,NA,1,1
2015,46,1490*B,Senecio crassulus,146.9379511,44.75161755,-10,-10,1,1,0,1,1,NA,NA,0,1
2016,46,1490*A,Senecio crassulus,147,45,-10,-10,1.5,3,0,0,0,1,0.5,1,0
2017,46,1490*A,Senecio crassulus,147,45,-10,-10,1,1,0,0,0,1.5,-0.5,1,0
2018,46,1490*A,Senecio crassulus,147,45,-10,-10,0,0,0,0,1,1,-1,0,0
2015,46,1491*A,Eriogonum umbellatum,159,42,-10,-10,1.5,1,0,1,0,NA,NA,1,1
2016,46,1491*A,Eriogonum umbellatum,159,42,-10,-10,1.5,1.5,0,0,0,1.5,0,1,0
2017,46,1491*A,Eriogonum umbellatum,159,42,-10,-10,1.5,1,0,0,0,1.5,0,1,0
2018,46,1491*A,Eriogonum umbellatum,159,42,-10,-10,0,0,0,0,1,1.5,-1.5,0,0
2015,46,1492*A,Eriogonum umbellatum,163,41,-10,-10,1,1,0,1,0,NA,NA,1,1
2016,46,1492*A,Eriogonum umbellatum,163,41,-10,-10,1,1,0,0,0,1,0,1,0
2017,46,1492*A,Eriogonum umbellatum,163,41,-10,-10,1,0.5,0,0,0,1,0,1,0
2018,46,1492*A,Eriogonum umbellatum,163,41,-10,-10,0,0,0,0,1,1,-1,0,0
2015,46,1493*A,Ivesia gordonii,177,23,-10,-10,0.9,0.9,0,1,0,NA,NA,1,1
2016,46,1493*A,Ivesia gordonii,177,23,-10,-10,0,0,0,0,1,0.9,-0.9,0,0
2015,46,1494*A,Ivesia gordonii,166,23,-10,-10,0.6,0.6,0,1,0,NA,NA,1,1
2016,46,1494*A,Ivesia gordonii,166,23,-10,-10,0,0,0,0,1,0.6,-0.6,0,0
2015,46,1495*A,Eriogonum umbellatum,191.1103162,7.670609594,-10,-10,1,1,0,1,0,NA,NA,1,1
2015,46,1495*B,Eriogonum umbellatum,189.6070238,8.426911144,-10,-10,1,1,0,1,0,NA,NA,1,1
2015,46,1495*C,Eriogonum umbellatum,186.2458362,1.675986659,-10,-10,1,1,0,1,0,NA,NA,1,1
2015,46,1495*D,Eriogonum umbellatum,195.5140767,17.00821168,-10,-10,1,1,0,1,1,NA,NA,0,1
2015,46,1495*E,Eriogonum umbellatum,183.6347145,13.9369591,-10,-10,1,1,0,1,1,NA,NA,0,1
2015,46,1495*F,Eriogonum umbellatum,183.845132,14.9776454,-10,-10,1,1,0,1,1,NA,NA,0,1
2015,46,1495*G,Eriogonum umbellatum,192.3658386,15.71561831,-10,-10,1,1,0,1,1,NA,NA,0,1
2016,46,1495*A,Eriogonum umbellatum,190.4675016,9.01920404,-10,-10,0.5,0.5,0,0,0,1,-0.5,1,0
2016,46,1495*B,Eriogonum umbellatum,189.8345363,9.337646797,-10,-10,0.5,0.5,0,0,1,1,-0.5,0,0
2016,46,1495*C,Eriogonum umbellatum,188.4192995,6.495152277,-10,-10,0.5,0.5,0,0,1,1,-0.5,0,0
2017,46,1495*A,Eriogonum umbellatum,190,10,-10,-10,0,0,0,0,1,0.5,-0.5,0,0
2015,46,1496*A,Lupinus argenteus,175,1,-10,-10,2,1,0,1,0,NA,NA,1,1
2016,46,1496*A,Lupinus argenteus,175,1,-10,-10,1.5,1,0,0,0,2,-0.5,1,0
2017,46,1496*A,Lupinus argenteus,175,1,-10,-10,0,0,0,0,1,1.5,-1.5,0,0
2015,46,1497*A,Lupinus argenteus,193,68,-10,-10,4,3,0,1,0,NA,NA,1,1
2016,46,1497*A,Lupinus argenteus,193,68,-10,-10,0.3,0.5,0,0,0,4,-3.7,1,0
2017,46,1497*A,Lupinus argenteus,193,68,-10,-10,0,0,0,0,1,0.3,-0.3,0,0
2015,46,1498*A,Ivesia gordonii,186,15,-10,-10,1,0.5,0,1,0,NA,NA,1,1
2016,46,1498*A,Ivesia gordonii,186,15,-10,-10,0,0,0,0,1,1,-1,0,0
2015,46,1499*A,Lupinus argenteus,138,77,-10,-10,4.5,4,0,1,0,NA,NA,1,1
2016,46,1499*A,Lupinus argenteus,138,77,-10,-10,5,5,0,0,0,4.5,0.5,1,0
2017,46,1499*A,Lupinus argenteus,138,77,-10,-10,0,0,0,0,1,5,-5,0,0
2014,1,15*A,Ivesia gordonii,195,144,-10,-10,18,4,3,0,0,NA,NA,1,NA
2015,1,15*A,Ivesia gordonii,195,144,-10,-10,18,6,23,0,0,18,0,1,0
2016,1,15*A,Ivesia gordonii,195,144,-10,-10,18.4,6.4,21,0,0,18,0.4,1,0
2017,1,15*A,Ivesia gordonii,195,144,-10,-10,0,0,0,0,1,18.4,-18.4,0,0
2014,14,150*A,Elymus lanceolatus,70,50,-10,-10,6,6,0,0,0,NA,NA,1,NA
2015,14,150*A,Elymus lanceolatus,70,50,-10,-10,4.5,12.5,0,0,0,6,-1.5,1,0
2016,14,150*A,Elymus lanceolatus,70,50,-10,-10,10.5,15,0,0,0,4.5,6,1,0
2017,14,150*A,Elymus lanceolatus,70,50,-10,-10,15,13,0,0,0,10.5,4.5,1,0
2018,14,150*A,Elymus lanceolatus,70,50,-10,-10,12,15.5,3,0,0,15,-3,1,0
2019,14,150*A,Elymus lanceolatus,70,50,-10,-10,12.5,17,2,0,0,12,0.5,1,0
2020,14,150*A,Elymus lanceolatus,70,50,-10,-10,14,12,0,0,0,12.5,1.5,1,0
2021,14,150*A,Elymus lanceolatus,70,50,-10,-10,14,19,2,0,0,14,0,1,0
2015,46,1500*A,Lupinus argenteus,75,43,-10,-10,3,3,0,1,0,NA,NA,1,1
2016,46,1500*A,Lupinus argenteus,75,43,-10,-10,1,2,0,0,0,3,-2,1,0
2017,46,1500*A,Lupinus argenteus,75,43,-10,-10,0,0,0,0,1,1,-1,0,0
2015,46,1501*A,Lupinus argenteus,140,77,-10,-10,4.5,3,0,1,0,NA,NA,1,1
2016,46,1501*A,Lupinus argenteus,140,77,-10,-10,0,0,0,0,1,4.5,-4.5,0,0
2015,46,1502*A,Lupinus argenteus,163,90,-10,-10,2.5,2.5,0,1,0,NA,NA,1,1
2016,46,1502*A,Lupinus argenteus,163,90,-10,-10,4,4,0,0,0,2.5,1.5,1,0
2017,46,1502*A,Lupinus argenteus,163,90,-10,-10,0,0,0,0,1,4,-4,0,0
2015,46,1503*A,Senecio crassulus,172,79,-10,-10,0.7,1.5,0,1,0,NA,NA,1,1
2016,46,1503*A,Senecio crassulus,172,79,-10,-10,1.5,2.5,0,0,0,0.7,0.8,1,0
2017,46,1503*A,Senecio crassulus,172,79,-10,-10,0,0,0,0,1,1.5,-1.5,0,0
2014,46,1504*A,Carex siccata,173,85,-10,-10,28,19,2,0,0,NA,NA,1,NA
2015,46,1504*A,Carex siccata,173,85,-10,-10,28,19,2,0,0,28,0,1,0
2016,46,1504*A,Carex siccata,173,85,-10,-10,34,20,0,0,0,28,6,1,0
2017,46,1504*A,Carex siccata,173,85,-10,-10,1.5,0.5,0,0,0,34,-32.5,1,0
2018,46,1504*A,Carex siccata,173,85,-10,-10,0,0,0,0,1,1.5,-1.5,0,0
2015,46,1505*A,Arenaria congesta,192,97,-5,-5,0.5,0.5,0,1,0,NA,NA,1,1
2016,46,1505*A,Arenaria congesta,192,97,-5,-5,2,2.5,0,0,0,0.5,1.5,1,0
2017,46,1505*A,Arenaria congesta,192,97,-5,-5,9,3,0,0,0,2,7,1,0
2018,46,1505*A,Arenaria congesta,192,97,-5,-5,5.6,3.5,0,0,0,9,-3.4,1,0
2019,46,1505*A,Arenaria congesta,192,97,-5,-5,14,10.5,18,0,1,5.6,8.4,0,0
2015,46,1506*A,Lupinus argenteus,193,100,-10,-10,3,3,0,1,0,NA,NA,1,1
2016,46,1506*A,Lupinus argenteus,193,100,-10,-10,7,6,0,0,0,3,4,1,0
2017,46,1506*A,Lupinus argenteus,193,100,-10,-10,9,6,0,0,0,7,2,1,0
2018,46,1506*A,Lupinus argenteus,193,100,-10,-10,0,0,0,0,1,9,-9,0,0
2015,46,1507*A,Arenaria congesta,183,92,-5,0,0.6,0.6,0,1,0,NA,NA,1,1
2016,46,1507*A,Arenaria congesta,183,92,-5,0,2,2,0,0,0,0.6,1.4,1,0
2017,46,1507*A,Arenaria congesta,183,92,-5,0,7,4,0,0,0,2,5,1,0
2018,46,1507*A,Arenaria congesta,183,92,-5,0,5.5,2,0,0,0,7,-1.5,1,0
2019,46,1507*A,Arenaria congesta,183,92,-5,0,14.5,8,7,0,0,5.5,9,1,0
2020,46,1507*A,Arenaria congesta,183,92,-5,0,13,10,10,0,0,14.5,-1.5,1,0
2021,46,1507*A,Arenaria congesta,183,92,-5,0,14.5,6.5,5,0,0,13,1.5,1,0
2015,46,1508*A,Chaenactis douglasii,180,100,-10,-10,0.7,1,0,1,0,NA,NA,1,1
2016,46,1508*A,Chaenactis douglasii,180,100,-10,-10,0,0,0,0,1,0.7,-0.7,0,0
2015,46,1509*A,Phacelia hastata,170,110,-10,-10,0.6,0.5,0,1,0,NA,NA,1,1
2016,46,1509*A,Phacelia hastata,170,110,-10,-10,0,0,0,0,1,0.6,-0.6,0,0
2014,14,151*A,Elymus lanceolatus,80,65,-10,-10,3,6,0,0,0,NA,NA,1,NA
2015,14,151*A,Elymus lanceolatus,80,65,-10,-10,4.5,9,0,0,0,3,1.5,1,0
2016,14,151*A,Elymus lanceolatus,80,65,-10,-10,2,5.5,0,0,0,4.5,-2.5,1,0
2017,14,151*A,Elymus lanceolatus,80,65,-10,-10,4,8,0,0,0,2,2,1,0
2018,14,151*A,Elymus lanceolatus,80,65,-10,-10,1.5,7.5,0,0,0,4,-2.5,1,0
2019,14,151*A,Elymus lanceolatus,80,65,-10,-10,0,0,0,0,1,1.5,-1.5,0,0
2015,46,1510*A,Eriogonum umbellatum,165.2337508,111.509602,-10,-10,1,1,0,1,0,NA,NA,1,1
2015,46,1510*B,Eriogonum umbellatum,164.9172682,111.6688234,-10,-10,1,1,0,1,0,NA,NA,1,1
2015,46,1510*C,Eriogonum umbellatum,164.2096497,110.2475761,-10,-10,1,1,0,1,0,NA,NA,1,1
2016,46,1510*A,Eriogonum umbellatum,165.3506262,111.264403,-10,-10,1,1,0,0,0,1,0,1,0
2016,46,1510*B,Eriogonum umbellatum,164.8759023,111.5032351,-10,-10,1,1,0,0,1,1,0,0,0
2016,46,1510*C,Eriogonum umbellatum,163.8144746,109.3713642,-10,-10,1,1,0,0,1,1,0,0,0
2017,46,1510*A,Eriogonum umbellatum,165,112,-10,-10,0,0,0,0,1,1,-1,0,0
2015,46,1511*A,Lupinus argenteus,126,81,-10,-10,3,3,0,1,0,NA,NA,1,1
2016,46,1511*A,Lupinus argenteus,126,81,-10,-10,5,5,0,0,0,3,2,1,0
2017,46,1511*A,Lupinus argenteus,126,81,-10,-10,0,0,0,0,1,5,-5,0,0
2015,46,1512*A,Lupinus argenteus,125,88,-10,-10,3,3,0,1,0,NA,NA,1,1
2016,46,1512*A,Lupinus argenteus,125,88,-10,-10,2,4,0,0,0,3,-1,1,0
2017,46,1512*A,Lupinus argenteus,125,88,-10,-10,0,0,0,0,1,2,-2,0,0
2015,46,1513*A,Eriogonum umbellatum,126,98,-10,-10,1,0.5,0,1,0,NA,NA,1,1
2016,46,1513*A,Eriogonum umbellatum,126,98,-10,-10,2,1,0,0,0,1,1,1,0
2017,46,1513*A,Eriogonum umbellatum,126,98,-10,-10,3,1,0,0,0,2,1,1,0
2018,46,1513*A,Eriogonum umbellatum,126,98,-10,-10,3.5,1,0,0,0,3,0.5,1,0
2019,46,1513*A,Eriogonum umbellatum,126,98,-10,-10,13,1,0,0,0,3.5,9.5,1,0
2020,46,1513*A,Eriogonum umbellatum,126,98,-10,-10,4,1,0,0,0,13,-9,1,0
2021,46,1513*A,Eriogonum umbellatum,126,98,-10,-10,4.6,0.7,0,0,0,4,0.6,1,0
2015,46,1514*A,Phacelia hastata,120,91,-10,-10,1.3,0.5,0,1,0,NA,NA,1,1
2016,46,1514*A,Phacelia hastata,120,91,-10,-10,0,0,0,0,1,1.3,-1.3,0,0
2015,46,1515*A,Lupinus argenteus,68,100,-10,-10,3,2,0,1,0,NA,NA,1,1
2016,46,1515*A,Lupinus argenteus,68,100,-10,-10,7,4,0,0,0,3,4,1,0
2017,46,1515*A,Lupinus argenteus,68,100,-10,-10,0,0,0,0,1,7,-7,0,0
2015,46,1516*A,Lupinus argenteus,97,90,-10,-10,4,4,0,1,0,NA,NA,1,1
2016,46,1516*A,Lupinus argenteus,97,90,-10,-10,3,4,0,0,0,4,-1,1,0
2017,46,1516*A,Lupinus argenteus,97,90,-10,-10,0,0,0,0,1,3,-3,0,0
2015,46,1517*A,Lupinus argenteus,60,125,-10,-10,2.5,2,0,1,0,NA,NA,1,1
2016,46,1517*A,Lupinus argenteus,60,125,-10,-10,0,0,0,0,1,2.5,-2.5,0,0
2015,46,1518*A,Lupinus argenteus,37,165,-10,-10,3.5,2,0,1,0,NA,NA,1,1
2016,46,1518*A,Lupinus argenteus,37,165,-10,-10,0,0,0,0,1,3.5,-3.5,0,0
2015,46,1519*A,Lupinus argenteus,52,186,-10,-10,3,2,0,1,0,NA,NA,1,1
2016,46,1519*A,Lupinus argenteus,52,186,-10,-10,0,0,0,0,1,3,-3,0,0
2014,14,152*A,Elymus lanceolatus,78,68,-10,-10,4,10,0,0,0,NA,NA,1,NA
2015,14,152*A,Elymus lanceolatus,78,68,-10,-10,15.5,12,0,0,0,4,11.5,1,0
2016,14,152*A,Elymus lanceolatus,78,68,-10,-10,11,12,0,0,0,15.5,-4.5,1,0
2017,14,152*A,Elymus lanceolatus,78,68,-10,-10,16,10,0,0,0,11,5,1,0
2018,14,152*A,Elymus lanceolatus,78,68,-10,-10,9,12.5,1,0,0,16,-7,1,0
2019,14,152*A,Elymus lanceolatus,78,68,-10,-10,4,11,0,0,0,9,-5,1,0
2020,14,152*A,Elymus lanceolatus,78,68,-10,-10,4.5,6.5,0,0,0,4,0.5,1,0
2021,14,152*A,Elymus lanceolatus,78,68,-10,-10,0,0,0,0,0,4.5,-4.5,1,0
2015,46,1520*A,Lupinus argenteus,84,160,-10,-10,3,2,0,1,0,NA,NA,1,1
2016,46,1520*A,Lupinus argenteus,84,160,-10,-10,5,5,0,0,0,3,2,1,0
2017,46,1520*A,Lupinus argenteus,84,160,-10,-10,8.5,5,0,0,0,5,3.5,1,0
2018,46,1520*A,Lupinus argenteus,84,160,-10,-10,0,0,0,0,1,8.5,-8.5,0,0
2015,46,1521*A,Lupinus argenteus,103,179,-10,-10,3.5,2,0,1,0,NA,NA,1,1
2016,46,1521*A,Lupinus argenteus,103,179,-10,-10,4,4,0,0,0,3.5,0.5,1,0
2017,46,1521*A,Lupinus argenteus,103,179,-10,-10,9,5,0,0,0,4,5,1,0
2018,46,1521*A,Lupinus argenteus,103,179,-10,-10,0,0,0,0,1,9,-9,0,0
2015,46,1522*A,Lupinus argenteus,107,155,-10,-10,3.5,3,0,1,0,NA,NA,1,1
2016,46,1522*A,Lupinus argenteus,107,155,-10,-10,2,2.5,0,0,0,3.5,-1.5,1,0
2017,46,1522*A,Lupinus argenteus,107,155,-10,-10,0,0,0,0,1,2,-2,0,0
2015,46,1523*A,Lupinus argenteus,91,175,-10,-10,0,0,0,1,1,NA,NA,0,1
2015,46,1524*A,Lupinus argenteus,116,160,-10,-10,3,3,0,1,0,NA,NA,1,1
2016,46,1524*A,Lupinus argenteus,116,160,-10,-10,0,0,0,0,1,3,-3,0,0
2015,46,1525*A,Lupinus argenteus,120,115,-2,-2,4.5,3,0,1,0,NA,NA,1,1
2016,46,1525*A,Lupinus argenteus,120,115,-2,-2,5,5,0,0,0,4.5,0.5,1,0
2017,46,1525*A,Lupinus argenteus,120,115,-2,-2,1,1,0,0,0,5,-4,1,0
2018,46,1525*A,Lupinus argenteus,120,115,-2,-2,0,0,0,0,1,1,-1,0,0
2015,46,1526*A,Eriogonum umbellatum,115,135,-10,-10,1,1,0,1,0,NA,NA,1,1
2016,46,1526*A,Eriogonum umbellatum,115,135,-10,-10,0,0,0,0,1,1,-1,0,0
2015,46,1527*A,Eriogonum umbellatum,180.0584377,114.8774005,-10,-10,0.5,1,0,1,0,NA,NA,1,1
2015,46,1527*B,Eriogonum umbellatum,179.979317,114.9172058,-10,-10,0.5,1,0,1,0,NA,NA,1,1
2016,46,1527*A,Eriogonum umbellatum,180.2045319,114.5709018,-10,-10,1,1,0,0,0,0.5,0.5,1,0
2016,46,1527*B,Eriogonum umbellatum,179.9276096,114.7102205,-10,-10,1,1,0,0,1,0.5,0.5,0,0
2017,46,1527*A,Eriogonum umbellatum,180,115,-10,-10,0,0,0,0,1,1,-1,0,0
2015,46,1528*A,Senecio crassulus,181,110,-10,-10,0.7,1,0,1,0,NA,NA,1,1
2016,46,1528*A,Senecio crassulus,181,110,-10,-10,0,0,0,0,1,0.7,-0.7,0,0
2015,46,1529*A,Agoseris glauca,195,155,-10,-2,4,8,0,1,0,NA,NA,1,1
2016,46,1529*A,Agoseris glauca,195,155,-10,-2,11,7,1,0,0,4,7,1,0
2017,46,1529*A,Agoseris glauca,195,155,-10,-2,3,3,0,0,0,11,-8,1,0
2018,46,1529*A,Agoseris glauca,195,155,-10,-2,4,4.5,0,0,0,3,1,1,0
2019,46,1529*A,Agoseris glauca,195,155,-10,-2,5.5,9,1,0,0,4,1.5,1,0
2020,46,1529*A,Agoseris glauca,195,155,-10,-2,6.5,6,1,0,0,5.5,1,1,0
2021,46,1529*A,Agoseris glauca,195,155,-10,-2,2.5,2,0,0,0,6.5,-4,1,0
2014,14,153*A,Elymus lanceolatus,85,87,0,-2,17,14,1,0,0,NA,NA,1,NA
2015,14,153*A,Elymus lanceolatus,85,87,0,-2,18,21.5,5,0,0,17,1,1,0
2016,14,153*A,Elymus lanceolatus,85,87,0,-2,22,26,6,0,0,18,4,1,0
2017,14,153*A,Elymus lanceolatus,85,87,0,-2,35,21,5,0,0,22,13,1,0
2018,14,153*A,Elymus lanceolatus,85,87,0,-2,23,25,25,0,0,35,-12,1,0
2019,14,153*A,Elymus lanceolatus,85,87,0,-2,30,26,10,0,0,23,7,1,0
2020,14,153*A,Elymus lanceolatus,85,87,0,-2,31,22.5,4,0,0,30,1,1,0
2021,14,153*A,Elymus lanceolatus,85,87,0,-2,30,21,10,0,0,31,-1,1,0
2015,46,1530*A,Lupinus argenteus,179,185,-10,-10,2.5,3,0,1,0,NA,NA,1,1
2016,46,1530*A,Lupinus argenteus,179,185,-10,-10,5,5,0,0,0,2.5,2.5,1,0
2017,46,1530*A,Lupinus argenteus,179,185,-10,-10,5,5,0,0,0,5,0,1,0
2018,46,1530*A,Lupinus argenteus,179,185,-10,-10,0,0,0,0,1,5,-5,0,0
2015,46,1531*A,Senecio crassulus,186,123,-10,-10,0.6,0.6,0,1,0,NA,NA,1,1
2016,46,1531*A,Senecio crassulus,186,123,-10,-10,3,2.5,0,0,0,0.6,2.4,1,0
2017,46,1531*A,Senecio crassulus,186,123,-10,-10,4.5,2.5,0,0,0,3,1.5,1,0
2018,46,1531*A,Senecio crassulus,186,123,-10,-10,0,0,0,0,1,4.5,-4.5,0,0
2015,46,1532*A,Senecio crassulus,190,118,-10,-10,0.5,1,0,1,0,NA,NA,1,1
2016,46,1532*A,Senecio crassulus,190,118,-10,-10,1,2,0,0,0,0.5,0.5,1,0
2017,46,1532*A,Senecio crassulus,190,118,-10,-10,0,0,0,0,1,1,-1,0,0
2015,46,1533*A,Heterotheca villosa,178.1168754,117.754801,2,-1,0.5,0.2,0,1,0,NA,NA,1,1
